SurveyYear,Sex,Ethnicity,IDLast,Siblings,CollegeYear,Job,SleepHours,Nose,Ear,Hand,Height,StatsExperience,StatsEmotions_1,StatsEmotions_2,StatsEmotions_3,StatsEmotions_4,StatsEmotions_5,StatsEmotions_6,StatsEmotions_7,StatsEmotions_8,StatsEmotions_9,StatsEmotions_10,StatsBeliefs_1,StatsBeliefs_2,StatsBeliefs_3,StatsBeliefs_4
2022,Female,Asian,2,2,1,Not Working,8,55,72,150,65,No,Somewhat,Quite a bit,Somewhat,Somewhat,Very strongly,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree
2022,Male,Asian,2,5,soph,Not Working,8,50,65,146,65,No,Somewhat,Very strongly,A little,Very strongly,Somewhat,Very strongly,Not at all,Quite a bit,A little,A little,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
2022,Female,Asian,0,3,1,Not Working,6,64,80,169,64,No,Somewhat,Not at all,Quite a bit,Somewhat,Somewhat,Somewhat,A little,A little,A little,A little,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
2022,Female,Black,6,0,2,Part-time Job,8,56,84,193,65,No,Quite a bit,Very strongly,Quite a bit,Very strongly,A little,Very strongly,Somewhat,Quite a bit,Not at all,Somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2022,Female,Latino,0,1,7,Part-time Job,5,60,90,200,64,No,Quite a bit,Somewhat,Very strongly,Somewhat,A little,Somewhat,A little,Somewhat,A little,A little,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree
2022,Female,Latino,9,2,3,Part-time Job,NA,45,70,151,66,No,Quite a bit,Very strongly,Somewhat,Very strongly,A little,Quite a bit,A little,Somewhat,Not at all,A little,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
2022,Male,White,7,0,3,Not Working,7,60,75,161,72,Yes,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,A little,A little,Quite a bit,Not at all,Very strongly,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree
2022,Male,Asian,0,0,2,Not Working,8,61,75,174,70.9,Yes,A little,Not at all,A little,A little,Somewhat,Somewhat,Quite a bit,Very strongly,A little,Somewhat,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2022,Female,Black,8,2,3,Part-time Job,9,60,90,190,72,No,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,A little,Not at all,Not at all,Quite a bit,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
2022,Female,Black,9,5,2,Not Working,7,66,77,159,68.75,No,A little,Somewhat,A little,Very strongly,Not at all,Quite a bit,A little,Quite a bit,A little,Somewhat,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree
2022,Female,Black,0,0,3,Not Working,8,65,80,180,62,No,Quite a bit,Quite a bit,Quite a bit,Quite a bit,A little,Quite a bit,A little,Somewhat,Not at all,Not at all,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
2022,Male,Latino,4,4,2,Part-time Job,6,45.5,70,158.5,69,No,A little,Quite a bit,A little,Quite a bit,Not at all,Quite a bit,A little,Somewhat,Not at all,A little,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree
2022,Female,Black,9,4,2,Part-time Job,5,60,67,156,61,No,Somewhat,Quite a bit,Somewhat,Somewhat,A little,Somewhat,Somewhat,Quite a bit,Not at all,Quite a bit,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
2022,Female,White,3,1,3,Part-time Job,8,60,76,157,67,No,Somewhat,Somewhat,A little,Somewhat,Somewhat,Somewhat,A little,Not at all,Not at all,Somewhat,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2022,Female,Black,7,0,2,Not Working,7,57,70,160,64,Yes,A little,A little,A little,Somewhat,A little,Quite a bit,A little,Somewhat,Not at all,Somewhat,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree
2022,Female,White,4,4,3,Not Working,10,73,73,169,69,No,Somewhat,Very strongly,Somewhat,Very strongly,Not at all,Very strongly,Not at all,Quite a bit,Not at all,Somewhat,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
2022,Female,Asian,6,3,3,Part-time Job,7,50,75,160,68,Yes,Very strongly,Quite a bit,Very strongly,Quite a bit,Quite a bit,A little,A little,A little,Somewhat,Very strongly,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree
2022,Female,Latino,0,5,2,Not Working,6,5.1,6.3,152,60,No,Somewhat,Quite a bit,Very strongly,Somewhat,Somewhat,Somewhat,A little,Very strongly,Somewhat,Quite a bit,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree
2022,Male,Asian,0,3,3,Part-time Job,6,55,60,161,68,No,A little,Somewhat,A little,Somewhat,Very strongly,A little,Quite a bit,Somewhat,Not at all,Very strongly,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree
2022,Male,Black,8,NA,3,Not Working,7,75,80,190,71,No,Quite a bit,Very strongly,Somewhat,Very strongly,Somewhat,Very strongly,A little,Somewhat,A little,Quite a bit,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree
2022,Male,Latino,6,4,3,Part-time Job,4,94,94,242,70,No,Very strongly,Quite a bit,Quite a bit,Somewhat,Quite a bit,Quite a bit,Quite a bit,A little,A little,Quite a bit,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
2022,Male,White,5,1,3,Not Working,5,60,80,181,72,Yes,Quite a bit,Quite a bit,Somewhat,Somewhat,Somewhat,A little,A little,Quite a bit,Not at all,A little,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2023,Male,Latino,NA,4,2,Not Working,6,45,60,230,72,No,Somewhat,Quite a bit,A little,Somewhat,Somewhat,A little,Somewhat,Not at all,Somewhat,Quite a bit,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2023,Female,Asian,6138,1,4,Not Working,4,53,60,141,62.5,No,Quite a bit,Very strongly,A little,Quite a bit,Somewhat,Quite a bit,A little,Quite a bit,Not at all,Quite a bit,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2023,Female,Asian,2,2,4,Not Working,6,61,67,150,61,Yes,Not at all,Very strongly,Not at all,Quite a bit,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Not at all,Strongly agree,Strongly agree,Strongly agree,Strongly disagree
2023,Female,White,0,3,2,Not Working,10,65,81,177,70,Yes,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,Quite a bit,Quite a bit,Not at all,A little,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2023,Female,Latino,NA,0,4,Part-time Job,7,63,70,163,64,No,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,A little,Not at all,Quite a bit,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree
2023,Female,Asian,2,2,2,Not Working,8,33,45,98,59.5,Yes,Not at all,Somewhat,A little,Somewhat,A little,Somewhat,Quite a bit,Quite a bit,Not at all,Somewhat,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
2023,Female,White,9,0,2,Not Working,8,53.975,73.025,158.75,65,No,Quite a bit,Somewhat,Very strongly,A little,Quite a bit,A little,Somewhat,Somewhat,Somewhat,Very strongly,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
2023,Male,Black,4,2,2,Not Working,6,68,75,171,73.5,Yes,A little,Very strongly,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree
2023,Male,White,9,5,3,Full-time Job,6,57,71,162,70,No,Not at all,Somewhat,A little,Somewhat,Somewhat,A little,A little,Somewhat,A little,Quite a bit,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
2023,Female,Asian,NA,6,2,Not Working,7,60,65,155,67,No,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,Quite a bit,Quite a bit,Very strongly,Not at all,Quite a bit,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
2023,Female,White,7,1,3,Not Working,7,60,75,160,64,No,A little,Quite a bit,Somewhat,Somewhat,Somewhat,A little,Somewhat,A little,Somewhat,Quite a bit,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree
2023,Female,Latino,3,3,2,Part-time Job,7,60.5,69.5,163,64,No,Quite a bit,Quite a bit,Somewhat,Somewhat,Quite a bit,Somewhat,Somewhat,Somewhat,A little,Quite a bit,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree
2023,Female,Asian,6,5,2,Part-time Job,NA,47,65,146,62.5,No,A little,A little,A little,Quite a bit,Somewhat,Quite a bit,A little,Somewhat,0,A little,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree
2023,Female,Other,7,1,2,Part-time Job,8,69,81,179,71,Yes,A little,Somewhat,A little,Somewhat,A little,Somewhat,A little,A little,A little,Not at all,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree
2023,Female,Latino,5112,0,2,Part-time Job,8,58,73,160,65,No,Very strongly,Quite a bit,Quite a bit,Very strongly,A little,Very strongly,Not at all,Somewhat,Not at all,Not at all,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree
2023,Male,Latino,NA,6,2,Part-time Job,7,70,89,190,66,No,Very strongly,Somewhat,Very strongly,A little,Somewhat,A little,Very strongly,Quite a bit,A little,Somewhat,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
2023,Male,Other,NA,0,2,Part-time Job,8,85,90,200,72.5,No,Quite a bit,A little,Quite a bit,Not at all,Very strongly,A little,Very strongly,Not at all,Not at all,Somewhat,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
2023,Female,Latino,6,5,3,Not Working,8,56,69,159,67.5,No,Quite a bit,Quite a bit,Somewhat,Somewhat,Somewhat,Quite a bit,Somewhat,Quite a bit,Not at all,A little,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
2023,Female,Latino,3,5,3,Not Working,7,57,71,157,65.5,Yes,Very strongly,Somewhat,Quite a bit,Quite a bit,Quite a bit,Somewhat,Somewhat,Somewhat,A little,Quite a bit,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree
2023,Female,Latino,2354,6,2,Part-time Job,8,51,70,153,59,No,Quite a bit,Quite a bit,Somewhat,Quite a bit,A little,Quite a bit,A little,Somewhat,A little,Quite a bit,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree
2023,Female,Latino,789,1,5,Not Working,8,55,70,170,64,Yes,Very strongly,Somewhat,Quite a bit,A little,Quite a bit,A little,Somewhat,Somewhat,A little,Somewhat,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
2023,Female,Asian,0,2,3,Part-time Job,6,55,67,146,63,No,A little,Quite a bit,Not at all,Quite a bit,Somewhat,Quite a bit,Somewhat,Somewhat,A little,Quite a bit,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
2023,Female,White,NA,4,2,Not Working,8,60,69,153,72,No,Quite a bit,Not at all,Quite a bit,Quite a bit,Somewhat,Somewhat,A little,A little,Not at all,Somewhat,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2024,Female,White,8,3,2,Part-time Job,7,55,80,170,65,Yes,A little,A little,A little,Somewhat,Somewhat,Somewhat,A little,Very strongly,Not at all,A little,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree
2024,Male,Latino,3,1,3,Part-time Job,8,60,75,167,69,No,A little,Quite a bit,A little,Quite a bit,A little,Somewhat,Not at all,Not at all,Not at all,Somewhat,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
2024,Female,Latino,8,2,2,Not Working,9,51,61,140,59,Yes,Quite a bit,Quite a bit,Somewhat,A little,Somewhat,A little,Somewhat,Quite a bit,A little,Somewhat,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree
2024,Female,Asian,3364,0,2,Not Working,6,60,70,160,62,No,Somewhat,Quite a bit,A little,Quite a bit,Somewhat,Quite a bit,A little,Somewhat,Not at all,Quite a bit,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree
2024,Female,Latino,4,1,3,Part-time Job,7,52,70,148,69.5,No,Very strongly,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very strongly,A little,Quite a bit,Not at all,Somewhat,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
